country,population,gdppc,co2emission
Andorra,0.06539,40.379390206452,8.01928429423459
United Arab Emirates,3.134062,63.2515229870394,35.9157642701389
Antigua and Barbuda,0.076016,13.1849092406389,4.53454535887182
Albania,3.089027,2.24462463172571,0.978174680894664
Armenia,3.069591,1.40303125693319,1.12891750073544
Angola,16.395473,2.19563104363877,0.581961496322796
Argentina,36.870787,8.22411282651363,3.8549919479614
Austria,8.011566,42.001210774577,7.7719711726771
Australia,19.153,44.3343929341041,17.2006098261369
Aruba,0.090853,28.4173842120132,26.1948752380219
Azerbaijan,8.0486,1.65880529323061,3.66627102850185
Bosnia and Herzegovina,3.751176,3.01839155458291,3.67562599035609
Barbados,0.271515,15.5700421707825,4.24078964329779
Bangladesh,127.657854,0.524945869703516,0.216415810969218
Belgium,10.25125,39.5885980069678,11.2296676990611
Burkina Faso,11.607942,0.489455363480089,0.0897168507561461
Bulgaria,8.170172,3.9847980998661603,5.32803434248386
Bahrain,0.664611,22.955237261329398,28.3158780098434
Burundi,6.378871,0.229206107263877,0.0425401297502332
Benin,6.865951,0.949736259160293,0.232860968567938
Bermuda,0.061833,79.9883500115683,8.36199116976372
Brunei Darussalam,0.333165,35.9315965013377,14.1434274308526
Bolivia,8.418264,1.60141665812106,1.31464230629973
Brazil,174.79034,8.80315252917931,1.87644130676787
"Bahamas, The",0.298051,31.570528169848398,6.54533620085153
Bhutan,0.591021,1.11976412049589,0.670087864898201
Botswana,1.643334,5.2110737051999,2.30061387399032
Belarus,9.97961,2.80857494889477,5.38974529064763
Belize,0.247315,3.86354748308276,1.60134241756464
Canada,30.68573,39.3388368965264,17.4146389543283
"Congo, Dem. Rep.",47.105826,0.289986319883827,0.0193058073113929
Central African Republic,3.640427,0.422863906510783,0.0735328575466559
"Congo, Rep.",3.127411,2.44132827038151,0.335345114537232
Switzerland,7.18425,67.80792681044211,5.44263089396945
Cote d'Ivoire,16.454668,1.35658583478253,0.412726893061592
Chile,15.342353,9.41998294955914,3.83350669874432
Cameroon,15.513945,1.14657231022119,0.221240438843892
China,1262.645,1.76783362700859,2.69686243322549
Colombia,39.629968,4.86287559280232,1.46161944920067
Costa Rica,3.962372,6.172408360930199,1.38170545319824
Cuba,11.12643,3.48083089218864,2.34427134309927
Cabo Verde,0.428188,2.21506817019014,0.505275720010836
Cyprus,0.94329,26.686789655385297,7.39783205588949
Czech Republic,10.255063,14.806583469825801,12.072240511833
Germany,82.211508,37.930486214219,10.0956398829225
Denmark,5.339616,55.8506307697047,9.61317555419716
Dominica,0.06965,5.5788084461149,1.47417085427136
Dominican Republic,8.471321,4.05149905756443,2.33621167229999
Algeria,31.042235,3.5576386684293997,2.83037996458696
Ecuador,12.681123,3.66366378422193,1.63381034944618
Estonia,1.396985,10.0624369516652,10.6362516419289
"Egypt, Arab Rep.",68.831561,1.98096784649348,2.05321770924242
Eritrea,2.292416,0.63517796019147,0.265537319578994
Spain,40.567864,28.4088067685172,7.25782434589112
Ethiopia,66.224804,0.197432305149369,0.0536000982350963
Finland,5.176209,40.4035495797237,10.0838428278302
Fiji,0.811006,3.31595449234948,1.03995531475723
"Micronesia, Fed. Sts.",0.107402,2.7075619990580697,1.16085361538891
France,60.9125,38.309442740563796,5.94666546275395
Gabon,1.22836,10.1702564480707,3.82115992054447
United Kingdom,58.892514,35.6729119698864,9.19954923303155
Grenada,0.102833,6.28469996784302,1.85430746939212
Georgia,4.077131,1.63353909705873,1.11256641005648
Ghana,19.278856,0.952803305104269,0.326207374545461
Greenland,0.0562,32.1930025213682,8.0908896797153
"Gambia, The",1.317703,0.832681536905817,0.208715469267354
Guinea,8.24073,0.612815821258023,0.199353212640142
Equatorial Guinea,0.606181,5.56338605175628,0.756168537120101
Greece,10.805808,23.2754443039169,8.47843382003456
Guatemala,11.589761,2.56819035585012,0.85554551124911
Guinea-Bissau,1.201301,0.549819707488698,0.122100955547361
Guyana,0.746715,2.4039289351735,2.15586000013392
Honduras,6.574509,1.60767968481287,0.76524710818709
Croatia,4.468302,10.458383432826,4.32821192479828
Haiti,8.463806,0.755679890225036,0.158571923789369
Hungary,10.210971,10.4654244003038,5.46729669489807
Indonesia,211.513823,2.14365950412517,1.24539824992904
Ireland,3.805174,44.1011073860839,10.8347426425178
Israel,6.289,27.7412750877262,9.58177945619335
India,1056.575549,0.8265924931123589,0.976601686435581
Iraq,23.497585,4.323726235088531,3.08309351790833
"Iran, Islamic Rep.",65.623405,4.81630882567067,5.67232331208659
Iceland,0.281205,37.4654519090413,7.69378211624971
Italy,56.942108,36.329248936880504,7.912673166227
Jamaica,2.654701,4.65856313156003,3.88289943010531
Jordan,5.122493,2.8386650552225,3.02738197982896
Japan,126.843,42.1697332837779,9.61252230710406
Kenya,31.964557,0.819615425085922,0.325921832734926
Kyrgyz Republic,4.8984,0.6543119852897891,0.946245304589254
Cambodia,12.155239,0.431202289963378,0.162605852505245
Kiribati,0.084396,1.72246241840075,0.391049338831224
Comoros,0.542357,1.29605802326538,0.189314418362813
St. Kitts and Nevis,0.044074,14.0873181329691,3.91044606797659
"Korea, Rep.",47.008111,15.4142915653968,9.52093176005307
Kuwait,2.045123,36.0681398013458,26.189232628062
Kazakhstan,14.883626,4.49159182333064,7.93485418136683
Lao PDR,5.3237,0.6728753882773171,0.181844957454402
Lebanon,3.842778,5.716658851209201,3.96780298003163
St. Lucia,0.156729,7.8470933692139395,2.22272202336517
Sri Lanka,18.777601,1.8251425217173,0.545238127064261
Liberia,2.848456,0.614312359313009,0.150621599912374
Lesotho,2.032804,0.809873168888273,0.91097567694672
Lithuania,3.499536,6.92825572851018,3.47572906808217
Luxembourg,0.4363,93.4629248130091,18.8855122622049
Latvia,2.36755,6.96210788208876,2.68262296466812
Libya,5.357891,8.96366583654145,8.79331363777277
Morocco,28.793679,1.9760908319555999,1.17751823238705
Moldova,2.923783,1.44663150455853,1.20152076949623
Madagascar,15.766806,0.490485547506474,0.118846962409508
Marshall Islands,0.050753,2.69636531705593,1.95080093787559
North Macedonia,2.034819,3.44881293076615,5.92899417589476
Mali,10.946445,0.555044548712378,0.0760437749424585
Myanmar,46.719701,0.342141262631951,0.21592426287146
Mongolia,2.397418,1.6004915005161,3.13101386575057
"Macao SAR, China",0.427782,22.534833558819102,3.81459481698622
Mauritania,2.630219,1.47367560446142,0.446137755069065
Malta,0.390087,18.3236538774465,5.42406950244433
Mauritius,1.186873,5.66318729654785,2.2677893927994
Maldives,0.279398,5.7976042557965,1.61433152706891
Malawi,11.148758,0.392524584680197,0.0789397348117162
Mexico,98.899845,9.25396804618644,4.02814463460484
Malaysia,23.194257,7.0070415032376205,5.42091501357427
Mozambique,17.711927,0.289256553199788,0.0761891125680452
Namibia,1.794571,4.00707294993129,0.915436614098857
Niger,11.331557,0.428236449851945,0.0614858134676461
Nigeria,122.28385,1.38366605146727,0.647042589843221
Nicaragua,5.069302,1.2942312777023601,0.742181467981193
Netherlands,15.925513,46.435214508082396,10.9156798905002
Norway,4.490967,81.6533448820322,8.83401570307687
Nepal,23.94111,0.455277143233152,0.128201198691289
New Zealand,3.8577,29.3545137067842,8.54939419861576
Oman,2.267973,18.190443089280002,9.56374039726222
Panama,3.030328,5.493642370019,1.91074794543693
Peru,26.459944,3.24257915732832,1.1450044641062
Papua New Guinea,5.847586,1.64308412643533,0.455899066725996
Philippines,77.991755,1.6687169110573299,0.939932650573128
Pakistan,142.343578,0.820225640879176,0.747833829215674
Poland,38.258629,8.52625167424449,7.82279832871167
West Bank and Gaza,2.922153,2.160182671202,0.568468180824207
Portugal,10.289898,21.4975003013363,6.09640338514531
Palau,0.019105,9.27721655086545,10.9405391258833
Paraguay,5.323201,3.5703520356189102,0.693004453523359
Qatar,0.592468,60.837544544335096,58.619464679949
Romania,22.442971,4.896697664606769,4.04051865503903
Russian Federation,146.596869,6.49107222720161,10.6270979157133
Rwanda,7.933681,0.352502202747699,0.066557755473153
Saudi Arabia,20.663843,18.352027139708103,14.3698016385432
Solomon Islands,0.41266,1.25273931116689,0.373222507633403
Seychelles,0.081131,9.790270771652152,7.05096695467824
Sudan,27.275015,0.993437846291318,0.159133713745191
Sweden,8.872109,44.941670370096205,5.56243008285854
Singapore,4.027887,33.8507472532419,12.1666243367801
Slovenia,1.988925,18.5231664186015,7.23840366026874
Slovak Republic,5.38872,10.3208269911221,6.65932948826437
Sierra Leone,4.584571,0.30226426560797104,0.0927833814766965
Senegal,9.797734,1.11516356921626,0.401966209737884
Suriname,0.470949,5.72644461234713,4.66405704226997
El Salvador,5.887936,2.66571575285188,0.977171457026707
Eswatini,1.005435,3.11781634147115,1.18533271668482
Chad,8.355654,0.462254239716662,0.0583689798548384
Togo,4.924402,0.558651003209915,0.276268468739961
Thailand,62.952642,3.45835272238492,2.74329018629591
Tajikistan,6.216341,0.415464539876491,0.359837081009552
Turkmenistan,4.516133,2.3811746751353997,8.31221733283763
Tunisia,9.70835,3.0017780284794897,2.05213151565405
Tonga,0.097973,3.27945662043994,0.973145662580507
Turkey,63.240194,8.23759920766912,3.41794199745814
Trinidad and Tobago,1.267153,9.7859097501933,18.8131717322218
Tuvalu,0.009394,3.0880534076394603,0.780711092186502
Tanzania,33.49918,0.5220767884105431,0.0791434596309522
Ukraine,49.1765,1.8179728463860398,6.52553225626061
Uganda,23.650172,0.549130530110437,0.0607802767776911
United States,282.162411,44.7269653978293,20.1787505069199
Uruguay,3.319736,9.00175004709871,1.5983647494861
Uzbekistan,24.6504,0.97901201409429806,4.941815954305
St. Vincent and the Grenadines,0.107784,4.75305711542653,1.360869887924
"Venezuela, RB",24.192446,11.9442058377568,6.30041798997919
Vietnam,79.910412,0.7651856509326149,0.671308552382385
Vanuatu,0.184972,2.8413296238299197,0.455966308414246
Samoa,0.174454,2.85562064811745,0.819774840359063
"Yemen, Rep.",17.409072,1.1686926587477702,0.841074756885376
South Africa,44.967708,5.9376260860986,8.42082992088456
Zambia,10.415944,0.9487362265620389,0.174972042860445
Zimbabwe,11.881477,1.4490427670955701,1.17187442268331
